id	offset_octets	longueur_octets	type	resume
performance_measurement_apis.performance.clearMarks	1313890	466	method	If name is not provided, removes all PerformanceMark objects from the Performance Timeline.
performance_measurement_apis.performance.clearMeasures	1314356	484	method	If name is not provided, removes all PerformanceMeasure objects from the Performance Timeline.
performance_measurement_apis.performance.clearResourceTimings	1314840	514	method	If name is not provided, removes all PerformanceResourceTiming objects from the Resource Timeline.
performance_measurement_apis.performance.eventLoopUtilization	1315354	2747	method	The eventLoopUtilization() method returns an object that contains the cumulative duration of time the event loop has been both idle and active as a high resolution milliseconds timer.
performance_measurement_apis.performance.getEntries	1318101	614	method	Returns a list of PerformanceEntry objects in chronological order with respect to performanceEntry.startTime.
performance_measurement_apis.performance.getEntriesByName	1318715	682	method	Returns a list of PerformanceEntry objects in chronological order with respect to performanceEntry.startTime whose performanceEntry.name is equal to name, and optionally, whose performanceEntry.entryT
performance_measurement_apis.performance.getEntriesByType	1319397	570	method	Returns a list of PerformanceEntry objects in chronological order with respect to performanceEntry.startTime whose performanceEntry.entryType is equal to type.
performance_measurement_apis.performance.mark	1319967	933	method	Creates a new PerformanceMark entry in the Performance Timeline.
performance_measurement_apis.performance.markResourceTiming	1320900	1075	method	This property is an extension by Node.js.
performance_measurement_apis.performance.measure	1321975	1518	method	Creates a new PerformanceMeasure entry in the Performance Timeline.
performance_measurement_apis.performance.now	1323493	439	method	Returns the current high resolution millisecond timestamp, where 0 represents the start of the current node process.
performance_measurement_apis.performance.setResourceTimingBufferSize	1323932	587	method	Sets the global performance resource timing buffer size to the specified number of "resource" type performance entry objects.
performance_measurement_apis.performance.timerify	1324519	1714	method	This property is an extension by Node.js.
performance_measurement_apis.performance.toJSON	1326233	401	method	An object which is JSON representation of the performance object.
performance_measurement_apis.createHistogram	1326634	301	method	Returns a <RecordableHistogram>.
performance_measurement_apis.monitorEventLoopDelay	1326935	1509	method	This property is an extension by Node.js.
permissions	1328444	1353	module	Permissions can be used to control what system resources the Node.js process has access to or what actions the process can take with those resources.
permissions.process-based_permissions	1329797	228	module	
permissions.process-based_permissions.permission_model	1330025	1353	module	The Node.js Permission Model is a mechanism for restricting access to specific resources during execution.
permissions.process-based_permissions.permission_model.runtime_api	1331378	513	module	When enabling the Permission Model through the --permission flag a new property permission is added to the process object.
permissions.process-based_permissions.permission_model.runtime_api.has	1331891	766	method	API call to check permissions at runtime (permission.has()) process.permission.has('fs.write'); // true process.permission.has('fs.write', '/home/rafaelgss/protected-folder'); // true process.permiss
permissions.process-based_permissions.permission_model.file_system_permissions	1332657	2542	module	The Permission Model, by default, restricts access to the file system through the node:fs module.
permissions.process-based_permissions.permission_model.using_the_permission_model_with_`npx`	1335199	1597	module	If you're using npx to execute a Node.js script, you can enable the Permission Model by passing the --node-options flag.
permissions.process-based_permissions.permission_model.permission_model_constraints	1336796	1403	module	There are constraints you need to know before using this system: The model does not inherit to a worker thread.
permissions.process-based_permissions.permission_model.limitations_and_known_issues	1338199	744	module	Symbolic links will be followed even to locations outside of the set of paths that access has been granted to.
punycode	1338943	1628	module	Source Code: lib/punycode.js The version of the punycode module bundled in Node.js is being deprecated.
punycode.ucs2.decode	1340571	614	method	The punycode.ucs2.decode() method returns an array containing the numeric codepoint values of each Unicode symbol in the string.
punycode.ucs2.encode	1341185	505	method	The punycode.ucs2.encode() method returns a string based on an array of numeric code point values.
punycode.decode	1341690	532	method	The punycode.decode() method converts a Punycode string of ASCII-only characters to the equivalent string of Unicode codepoints.
punycode.encode	1342222	506	method	The punycode.encode() method converts a string of Unicode codepoints to a Punycode string of ASCII-only characters.
punycode.toASCII	1342728	780	method	The punycode.toASCII() method converts a Unicode string representing an Internationalized Domain Name to Punycode.
punycode.toUnicode	1343508	727	method	The punycode.toUnicode() method converts a string representing a domain name containing Punycode encoded characters into Unicode.
querystring	1344235	702	module	Source Code: lib/querystring.js The node:querystring module provides utilities for parsing and formatting URL query strings.
querystring.decode	1344937	325	method	The querystring.decode() function is an alias for querystring.parse().
querystring.encode	1345262	333	method	The querystring.encode() function is an alias for querystring.stringify().
querystring.escape	1345595	815	method	The querystring.escape() method performs URL percent-encoding on the given str in a manner that is optimized for the specific requirements of URL query strings.
querystring.parse	1346410	1215	method	The querystring.parse() method parses a URL query string (str) into a collection of key and value pairs.
querystring.stringify	1347625	1370	method	The querystring.stringify() method produces a URL query string from a given obj by iterating through the object's "own properties".
querystring.unescape	1348995	915	method	The querystring.unescape() method performs decoding of URL percent-encoded characters on the given str.
readline	1349910	1728	module	Source Code: lib/readline.js The node:readline module provides an interface for reading data from a Readable stream (such as process.stdin) one line at a time.
readline.InterfaceConstructor	1351638	775	class	Extends: <EventEmitter> Instances of the InterfaceConstructor class are constructed using the readlinePromises.createInterface() or readline.createInterface() method.
readline.InterfaceConstructor.close	1352413	622	method	The rl.close() method closes the InterfaceConstructor instance and relinquishes control over the input and output streams.
readline.InterfaceConstructor.[Symbol.dispose]	1353035	265	method	Alias for rl.close().
readline.InterfaceConstructor.pause	1353300	514	method	The rl.pause() method pauses the input stream, allowing it to be resumed later if necessary.
readline.InterfaceConstructor.prompt	1353814	759	method	The rl.prompt() method writes the InterfaceConstructor instances configured prompt to a new line in output in order to provide a user with a new location at which to provide input.
readline.InterfaceConstructor.resume	1354573	334	method	The rl.resume() method resumes the input stream if it has been paused.
readline.InterfaceConstructor.setPrompt	1354907	419	method	The rl.setPrompt() method sets the prompt that will be written to output whenever rl.prompt() is called.
readline.InterfaceConstructor.getPrompt	1355326	349	method	The rl.getPrompt() method returns the current prompt used by rl.prompt().
readline.InterfaceConstructor.write	1355675	992	method	The rl.write() method will write either data or a key sequence identified by key to the output.
readline.InterfaceConstructor.[Symbol.asyncIterator]	1356667	1330	method	Create an AsyncIterator object that iterates through each line in the input stream as a string.
readline.InterfaceConstructor.getCursorPos	1357997	475	method	Returns the real position of the cursor in relation to the input prompt + string.
readline.promises_api	1358472	186	module	
readline.promises_api.readlinePromises.Interface	1358658	791	class	Extends: <readline.InterfaceConstructor> Instances of the readlinePromises.Interface class are constructed using the readlinePromises.createInterface() method.
readline.promises_api.readlinePromises.Interface.question	1359449	1391	method	The rl.question() method displays the query by writing it to the output, waits for user input to be provided on input, then invokes the callback function passing the provided input as the first argume
readline.promises_api.readlinePromises.Readline	1360840	244	class	
readline.promises_api.readlinePromises.Readline.clearLine	1361084	682	method	The rl.clearLine() method adds to the internal list of pending action an action that clears current line of the associated stream in a specified direction identified by dir.
readline.promises_api.readlinePromises.Readline.clearScreenDown	1361766	681	method	The rl.clearScreenDown() method adds to the internal list of pending action an action that clears the associated stream from the current position of the cursor down.
readline.promises_api.readlinePromises.Readline.commit	1362447	466	method	The rl.commit() method sends all the pending actions to the associated stream and clears the internal list of pending actions.
readline.promises_api.readlinePromises.Readline.cursorTo	1362913	630	method	The rl.cursorTo() method adds to the internal list of pending action an action that moves cursor to the specified position in the associated stream.
readline.promises_api.readlinePromises.Readline.moveCursor	1363543	664	method	The rl.moveCursor() method adds to the internal list of pending action an action that moves the cursor relative to its current position in the associated stream.
readline.promises_api.readlinePromises.Readline.rollback	1364207	444	method	The rl.rollback methods clears the internal list of pending actions without sending it to the associated stream.
readline.promises_api.createInterface	1364651	1219	method	The readlinePromises.createInterface() method creates a new readlinePromises.Interface instance.
readline.promises_api.createInterface.use_of_the_`completer`_function	1365870	1159	module	The completer function takes the current line entered by the user as an argument, and returns an Array with 2 entries: An Array with matching entries for the completion.
readline.callback_api	1367029	186	module	
readline.callback_api.readline.Interface	1367215	735	class	Extends: <readline.InterfaceConstructor> Instances of the readline.Interface class are constructed using the readline.createInterface() method.
readline.callback_api.readline.Interface.question	1367950	1651	method	The rl.question() method displays the query by writing it to the output, waits for user input to be provided on input, then invokes the callback function passing the provided input as the first argume
readline.callback_api.clearLine	1369601	456	method	The readline.clearLine() method clears current line of given TTY stream in a specified direction identified by dir.
readline.callback_api.clearScreenDown	1370057	461	method	The readline.clearScreenDown() method clears the given TTY stream from the current position of the cursor down.
readline.callback_api.createInterface	1370518	1348	method	The readline.createInterface() method creates a new readline.Interface instance.
readline.callback_api.createInterface.use_of_the_`completer`_function	1371866	1156	module	The completer function takes the current line entered by the user as an argument, and returns an Array with 2 entries: An Array with matching entries for the completion.
readline.callback_api.cursorTo	1373022	410	method	The readline.cursorTo() method moves cursor to the specified position in a given TTY stream.
readline.callback_api.moveCursor	1373432	442	method	The readline.moveCursor() method moves the cursor relative to its current position in a given TTY stream.
readline.tty_keybindings	1373874	2815	module	Keybindings Description Notes Ctrl+Shift+Backspace Delete line left Doesn't work on Linux, Mac and Windows Ctrl+Shift+Delete Delete line right Doesn't work
readline.emitKeypressEvents	1376689	5367	method	The readline.emitKeypressEvents() method causes the given Readable stream to begin emitting 'keypress' events corresponding to received input.
repl	1382056	622	module	Source Code: lib/repl.js The node:repl module provides a Read-Eval-Print-Loop (REPL) implementation that is available both as a standalone program or includible in other applications.
repl.REPLServer	1382678	927	class	options <Object> | <string> See repl.start() Extends: <readline.Interface> Instances of repl.REPLServer are created using the repl.start() method or directly using the JavaScript new keyword.
repl.REPLServer.defineCommand	1383605	1706	method	The replServer.defineCommand() method is used to add new .-prefixed commands to the REPL instance.
repl.REPLServer.displayPrompt	1385311	952	method	The replServer.displayPrompt() method readies the REPL instance for input from the user, printing the configured prompt to a new line in the output and resuming the input to accept new input.
repl.REPLServer.clearBufferedCommand	1386263	598	method	The replServer.clearBufferedCommand() method clears any command that has been buffered but not yet executed.
repl.REPLServer.setupHistory	1386861	615	method	Initializes a history log file for the REPL instance.
repl.design_and_features	1387476	1062	module	The node:repl module exports the repl.REPLServer class.
repl.design_and_features.commands_and_special_keys	1388538	1864	module	The following special commands are supported by all REPL instances: .break: When in the process of inputting a multi-line expression, enter the .break command (or press Ctrl+C) to abort further input
repl.design_and_features.default_evaluation	1390402	676	module	By default, all instances of repl.REPLServer use an evaluation function that evaluates JavaScript expressions and provides access to Node.js built-in modules.
repl.design_and_features.default_evaluation.javascript_expressions	1391078	754	module	The default evaluator supports direct evaluation of JavaScript expressions: > 1 + 1 2 > const m = 2 undefined > m + 1 3 Unless otherwise scoped within blocks or functions, variables declared either i
repl.design_and_features.default_evaluation.global_and_local_scope	1391832	1395	module	The default evaluator provides access to any variables that exist in the global scope.
repl.design_and_features.default_evaluation.accessing_core_node.js_modules	1393227	674	module	The default evaluator will automatically load Node.js core modules into the REPL environment when used.
repl.design_and_features.default_evaluation.global_uncaught_exceptions	1393901	1104	module	The REPL uses the domain module to catch all uncaught exceptions for that REPL session.
repl.design_and_features.default_evaluation.`await`_keyword	1395005	1092	module	Support for the await keyword is enabled at the top level.
repl.design_and_features.reverse-i-search	1396097	743	module	The REPL supports bi-directional reverse-i-search similar to ZSH.
repl.design_and_features.custom_evaluation_functions	1396840	2175	module	When a new repl.REPLServer is created, a custom evaluation function may be provided.
repl.design_and_features.custom_evaluation_functions.recoverable_errors	1399015	1005	module	At the REPL prompt, pressing Enter sends the current line of input to the eval function.
repl.design_and_features.customizing_repl_output	1400020	1919	module	By default, repl.REPLServer instances format output using the util.inspect() method before writing the output to the provided Writable stream (process.stdout by default).
repl.the_node.js_repl	1401939	651	module	Node.js itself uses the node:repl module to provide its own interactive interface for executing JavaScript.
repl.the_node.js_repl.environment_variable_options	1402590	1273	module	Various behaviors of the Node.js REPL can be customized using the following environment variables: NODE_REPL_HISTORY: When a valid path is given, persistent REPL history will be saved to the specifie
repl.the_node.js_repl.persistent_history	1403863	621	module	By default, the Node.js REPL will persist history between node REPL sessions by saving inputs to a .node_repl_history file located in the user's home directory.
repl.the_node.js_repl.using_the_node.js_repl_with_advanced_line-editors	1404484	715	module	For advanced line-editors, start Node.js with the environment variable NODE_NO_READLINE=1.
repl.the_node.js_repl.starting_multiple_repl_instances_in_the_same_process	1405199	3147	module	It is possible to create and run multiple REPL instances against a single running instance of Node.js that share a single global object (by setting the useGlobal option to true) but have separate I/O
repl.the_node.js_repl.starting_multiple_repl_instances_in_the_same_process.repl_over_`curl`	1408346	2051	module	This is an example on how to run a REPL instance over curl() The following script starts an HTTP server on port 8000 that can accept a connection established via curl().
repl.start	1410397	539	method	The repl.start() method creates and starts a repl.REPLServer instance.
single_executable_applications	1410936	4067	module	Source Code: src/node_sea.cc This feature allows the distribution of a Node.js application conveniently to a system that does not have Node.js installed.
single_executable_applications.generating_single_executable_preparation_blobs	1415003	2142	module	Single executable preparation blobs that are injected into the application can be generated using the --experimental-sea-config flag of the Node.js binary that will be used to build the single executa
single_executable_applications.generating_single_executable_preparation_blobs.assets	1417145	1619	module	Users can include assets by adding a key-path dictionary to the configuration as the assets field.
single_executable_applications.generating_single_executable_preparation_blobs.startup_snapshot_support	1418764	1949	module	The useSnapshot field can be used to enable startup snapshot support.
single_executable_applications.generating_single_executable_preparation_blobs.v8_code_cache_support	1420713	1063	module	When useCodeCache is set to true in the configuration, during the generation of the single executable preparation blob, Node.js will compile the main script to generate the V8 code cache.
single_executable_applications.generating_single_executable_preparation_blobs.execution_arguments	1421776	1639	module	The execArgv field can be used to specify Node.js-specific arguments that will be automatically applied when the single executable application starts.
single_executable_applications.generating_single_executable_preparation_blobs.execution_argument_extension	1423415	1667	module	The execArgvExtension field controls how additional execution arguments can be provided beyond those specified in the execArgv field.
single_executable_applications.in_the_injected_main_script	1425082	253	module	
single_executable_applications.in_the_injected_main_script.single-executable_application_api	1425335	581	module	The node:sea builtin allows interaction with the single-executable application from the JavaScript main script embedded into the executable.
single_executable_applications.in_the_injected_main_script.single-executable_application_api.isSea	1425916	255	method	
single_executable_applications.in_the_injected_main_script.`__dirname`_in_the_injected_main_script	1426171	521	module	The value of __dirname in the injected main script is equal to the directory name of process.execPath.
single_executable_applications.in_the_injected_main_script.getAsset	1426692	950	method	This method can be used to retrieve the assets configured to be bundled into the single-executable application at build time.
single_executable_applications.in_the_injected_main_script.getAssetAsBlob	1427642	677	method	Similar to sea.getAsset(), but returns the result in a <Blob>.
single_executable_applications.in_the_injected_main_script.getRawAsset	1428319	1079	method	This method can be used to retrieve the assets configured to be bundled into the single-executable application at build time.
single_executable_applications.in_the_injected_main_script.getAssetKeys	1429398	559	method	This method can be used to retrieve an array of all the keys of assets embedded into the single-executable application.
single_executable_applications.notes	1429957	187	module	
single_executable_applications.notes.single_executable_application_creation_process	1430144	1063	module	A tool aiming to create a single executable Node.js application must inject the contents of the blob prepared with --experimental-sea-config" into: a resource named NODE_SEA_BLOB if the node binary i
single_executable_applications.notes.platform_support	1431207	970	module	Single-executable support is tested regularly on CI only on the following platforms: Windows macOS Linux (all distributions supported by Node.js except Alpine and all architectures supported by Node.
sqlite	1432177	2234	module	Source Code: lib/sqlite.js The node:sqlite module facilitates working with SQLite databases.
sqlite.DatabaseSync	1434411	371	class	This class represents a single connection to a SQLite database.
sqlite.DatabaseSync.aggregate	1434782	3046	method	Registers a new aggregate function with the SQLite database.
sqlite.DatabaseSync.close	1437828	354	method	Closes the database connection.
sqlite.DatabaseSync.loadExtension	1438182	475	method	Loads a shared library into the database connection.
sqlite.DatabaseSync.enableLoadExtension	1438657	510	method	Enables or disables the loadExtension SQL function, and the loadExtension() method.
sqlite.DatabaseSync.location	1439167	310	method	This method is a wrapper around sqlite3_db_filename()
sqlite.DatabaseSync.exec	1439477	490	method	This method allows one or more SQL statements to be executed without returning any results.
sqlite.DatabaseSync.function	1439967	398	method	This method is used to create SQLite user-defined functions.
sqlite.DatabaseSync.open	1440365	492	method	Opens the database specified in the path argument of the DatabaseSync constructor.
sqlite.DatabaseSync.prepare	1440857	353	method	Compiles a SQL statement into a prepared statement.
sqlite.DatabaseSync.createSession	1441210	399	method	Creates and attaches a session to the database.
sqlite.DatabaseSync.applyChangeset	1441609	991	method	An exception is thrown if the database is not open.
sqlite.DatabaseSync.[Symbol.dispose]	1442600	349	method	Closes the database connection.
sqlite.Session	1442949	175	class	
sqlite.Session.changeset	1443124	505	method	Retrieves a changeset containing all changes since the changeset was created.
sqlite.Session.patchset	1443629	513	method	Similar to the method above, but generates a more compact patchset.
sqlite.StatementSync	1444142	842	class	This class represents a single prepared statement.
sqlite.StatementSync.type_conversion_between_javascript_and_sqlite	1444984	909	module	When Node.js writes to or reads from SQLite it is necessary to convert between JavaScript data types and SQLite's data types.
sqlite.StatementSync.all	1445893	604	method	This method executes a prepared statement and returns all results as an array of objects.
sqlite.StatementSync.columns	1446497	391	method	This method is used to retrieve information about the columns returned by the prepared statement.
sqlite.StatementSync.get	1446888	589	method	This method executes a prepared statement and returns the first result as an object.
sqlite.StatementSync.iterate	1447477	595	method	This method executes a prepared statement and returns an iterator of objects.
sqlite.StatementSync.run	1448072	530	method	This method executes a prepared statement and returns an object summarizing the resulting changes.
sqlite.StatementSync.setAllowBareNamedParameters	1448602	1186	method	The names of SQLite parameters begin with a prefix character.
sqlite.StatementSync.setAllowUnknownNamedParameters	1449788	522	method	By default, if an unknown name is encountered while binding parameters, an exception is thrown.
sqlite.StatementSync.setReturnArrays	1450310	480	method	When enabled, query results returned by the all(), get(), and iterate() methods will be returned as arrays instead of objects.
sqlite.StatementSync.setReadBigInts	1450790	715	method	When reading from the database, SQLite INTEGERs are mapped to JavaScript numbers by default.
sqlite.Type.sqlite_constants	1451505	337	module	The following constants are exported by the sqlite.constants object.
sqlite.Type.sqlite_constants.conflict_resolution_constants	1451842	2756	module	One of the following constants is available as an argument to the onConflict conflict resolution handler passed to database.applyChangeset().
sqlite.backup	1454598	1525	method	This method makes a database backup.
stream	1456123	913	module	Source Code: lib/stream.js A stream is an abstract interface for working with streaming data in Node.js.
stream.organization_of_this_document	1457036	527	module	This document contains two primary sections and a third section for notes.
stream.types_of_streams	1457563	958	module	There are four fundamental stream types within Node.js: Writable: streams to which data can be written (for example, fs.createWriteStream()).
stream.types_of_streams.streams_promises_api	1458521	632	module	The stream/promises API provides an alternative set of asynchronous utility functions for streams that return Promise objects rather than using callbacks.
stream.types_of_streams.object_mode	1459153	1164	module	All streams created by Node.js APIs operate exclusively on strings, <Buffer>, <TypedArray> and <DataView> objects: Strings and Buffers are the most common types used with streams.
stream.types_of_streams.pipeline	1460317	4150	method	const { pipeline } = require('node:stream/promises'); const fs = require('node:fs'); const zlib = require('node:zlib'); async function run() { await pipeline( fs.createReadStream('archive.tar')
stream.types_of_streams.pipeline	1464467	4179	method	const { pipeline } = require('node:stream/promises'); const fs = require('node:fs'); const zlib = require('node:zlib'); async function run() { await pipeline( fs.createReadStream('archive.tar')
stream.types_of_streams.finished	1468646	1485	method	const { finished } = require('node:stream/promises'); const fs = require('node:fs'); const rs = fs.createReadStream('archive.tar'); async function run() { await finished(rs); console.log('Stream
stream.finished	1470131	1433	method	A function to get notified when a stream is no longer readable, writable or has experienced an error or a premature close event.
stream.pipeline	1471564	2381	method	A module method to pipe between streams and generators forwarding errors and properly cleaning up and provide a callback when the pipeline is complete.
stream.pipeline	1473945	2352	method	A module method to pipe between streams and generators forwarding errors and properly cleaning up and provide a callback when the pipeline is complete.
stream.compose	1476297	2551	method	Combines two or more streams into a Duplex stream that writes to the first stream and reads from the last.
stream.isErrored	1478848	294	method	Returns whether the stream has encountered an error.
stream.isReadable	1479142	271	method	Returns whether the stream is readable.
stream.isWritable	1479413	271	method	Returns whether the stream is writable.
stream.from	1479684	1066	method	A utility method for creating readable streams out of iterators.
stream.fromWeb	1480750	212	method	
stream.isDisturbed	1480962	323	method	Returns whether the stream has been read from or cancelled.
stream.toWeb	1481285	206	method	
stream.fromWeb	1481491	212	method	
stream.toWeb	1481703	195	method	
stream.from	1481898	1486	method	A utility method for creating duplex streams.
stream.fromWeb	1483384	1533	method	import { Duplex } from 'node:stream'; import { ReadableStream, WritableStream, } from 'node:stream/web'; const readable = new ReadableStream({ start(controller) { controller.enqueue('world'
stream.toWeb	1484917	1291	method	import { Duplex } from 'node:stream'; const duplex = Duplex({ objectMode: true, read() { this.push('world'); this.push(null); }, write(chunk, encoding, callback) { console.log('wr
stream.addAbortSignal	1486208	1977	method	Attaches an AbortSignal to a readable or writeable stream.
stream.getDefaultHighWaterMark	1488185	387	method	Returns the default highWaterMark used by streams.
stream.setDefaultHighWaterMark	1488572	337	method	Sets the default highWaterMark used by streams.
stream.read	1488909	901	method	There are some cases where it is necessary to trigger a refresh of the underlying readable stream mechanisms, without actually consuming any data.
stream.push	1489810	618	method	Use of readable.push('') is not recommended.
string_decoder	1490428	2379	module	Source Code: lib/string_decoder.js The node:string_decoder module provides an API for decoding Buffer objects into strings in a manner that preserves encoded multi-byte UTF-8 and UTF-16 characters.
string_decoder.StringDecoder	1492807	201	class	
string_decoder.StringDecoder.end	1493008	696	method	Returns any remaining input stored in the internal buffer as a string.
string_decoder.StringDecoder.write	1493704	677	method	Returns a decoded string, ensuring that any incomplete multibyte characters at the end of the Buffer, or TypedArray, or DataView are omitted from the returned string and stored in an internal buffer f
test_runner	1494381	2652	module	Source Code: lib/test.js The node:test module facilitates the creation of JavaScript tests.
test_runner.MockFunctionContext	1497033	454	class	The MockFunctionContext class is used to inspect or manipulate the behavior of mocks created via the MockTracker APIs.
test_runner.MockFunctionContext.callCount	1497487	506	method	This function returns the number of times that this mock has been invoked.
test_runner.MockFunctionContext.mockImplementation	1497993	893	method	This function is used to change the behavior of an existing mock.
test_runner.MockFunctionContext.mockImplementationOnce	1498886	1176	method	This function is used to change the behavior of an existing mock for a single invocation.
test_runner.MockFunctionContext.resetCalls	1500062	299	method	Resets the call history of the mock function.
test_runner.MockFunctionContext.restore	1500361	401	method	Resets the implementation of the mock function to its original behavior.
test_runner.MockModuleContext	1500762	436	class	The MockModuleContext class is used to manipulate the behavior of module mocks created via the MockTracker APIs.
test_runner.MockModuleContext.restore	1501198	288	method	Resets the implementation of the mock module.
test_runner.MockPropertyContext	1501486	472	class	The MockPropertyContext class is used to inspect or manipulate the behavior of property mocks created via the MockTracker APIs.
test_runner.MockPropertyContext.accessCount	1501958	518	method	This function returns the number of times that the property was accessed.
test_runner.MockPropertyContext.mockImplementation	1502476	400	method	This function is used to change the value returned by the mocked property getter.
test_runner.MockPropertyContext.mockImplementationOnce	1502876	1087	method	This function is used to change the behavior of an existing mock for a single invocation.
test_runner.MockPropertyContext.mockImplementationOnce.caveat	1503963	725	module	For consistency with the rest of the mocking API, this function treats both property gets and sets as accesses.
test_runner.MockPropertyContext.resetAccesses	1504688	316	method	Resets the access history of the mocked property.
test_runner.MockPropertyContext.restore	1505004	401	method	Resets the implementation of the mock property to its original behavior.
test_runner.MockTracker	1505405	499	class	The MockTracker class is used to manage mocking functionality.
test_runner.MockTracker.fn	1505904	918	method	This function is used to create a mock function.
test_runner.MockTracker.getter	1506822	409	method	This function is syntax sugar for MockTracker.method with options.getter set to true.
test_runner.MockTracker.method	1507231	1090	method	This function is used to create a mock on an existing object method.
test_runner.MockTracker.module	1508321	2109	method	This function is used to mock the exports of ECMAScript modules, CommonJS modules, JSON modules, and Node.js builtin modules.
test_runner.MockTracker.property	1510430	1086	method	Creates a mock for a property value on an object.
test_runner.MockTracker.reset	1511516	861	method	This function restores the default behavior of all mocks that were previously created by this MockTracker and disassociates the mocks from the MockTracker instance.
test_runner.MockTracker.restoreAll	1512377	519	method	This function restores the default behavior of all mocks that were previously created by this MockTracker.
test_runner.MockTracker.setter	1512896	409	method	This function is syntax sugar for MockTracker.method with options.setter set to true.
test_runner.MockTimers	1513305	734	class	Mocking timers is a technique commonly used in software testing to simulate and control the behavior of timers, such as setInterval and setTimeout, without actually waiting for the specified time inte
test_runner.MockTimers.enable	1514039	2556	method	Enables timer mocking for the specified timers.
test_runner.MockTimers.reset	1516595	758	method	This function restores the default behavior of all mocks that were previously created by this MockTimers instance and disassociates the mocks from the MockTracker instance.
test_runner.MockTimers.[Symbol.dispose]	1517353	262	method	Calls timers.reset().
test_runner.MockTimers.tick	1517615	4022	method	Advances time for all mocked timers.
test_runner.MockTimers.tick.using_clear_functions	1521637	1660	module	As mentioned, all clear functions from timers (clearTimeout, clearInterval,and clearImmediate) are implicitly mocked.
test_runner.MockTimers.tick.working_with_node.js_timers_modules	1523297	4769	module	Once you enable mocking timers, node:timers, node:timers/promises modules, and timers from the Node.js global context are enabled: Note: Destructuring functions such as import { setTimeout } from 'nod
test_runner.MockTimers.runAll	1528066	2122	method	Triggers all pending mocked timers immediately.
test_runner.MockTimers.setTime	1530188	1259	method	Sets the current Unix timestamp that will be used as reference for any mocked Date objects.
test_runner.MockTimers.setTime.dates_and_timers_working_together	1531447	1581	module	Dates and timer objects are dependent on each other.
test_runner.TestsStream	1533028	750	class	Extends <Readable> A successful call to run() method will return a new <TestsStream> object, streaming a series of events representing the execution of the tests.
test_runner.TestContext	1533778	469	class	An instance of TestContext is passed to each test function in order to interact with the test runner.
test_runner.TestContext.assert.fileSnapshot	1534247	898	method	This function serializes value and writes it to the file specified by path.
test_runner.TestContext.assert.snapshot	1535145	632	method	This function implements assertions for snapshot testing.
test_runner.TestContext.before	1535777	374	method	This function is used to create a hook running before subtest of the current test.
test_runner.TestContext.beforeEach	1536151	627	method	This function is used to create a hook running before each subtest of the current test.
test_runner.TestContext.after	1536778	524	method	This function is used to create a hook that runs after the current test finishes.
test_runner.TestContext.afterEach	1537302	625	method	This function is used to create a hook running after each subtest of the current test.
test_runner.TestContext.diagnostic	1537927	521	method	This function is used to write diagnostics to the output.
test_runner.TestContext.plan	1538448	2097	method	This function is used to set the number of assertions and subtests that are expected to run within the test.
test_runner.TestContext.runOnly	1540545	804	method	If shouldRunOnlyTests is truthy, the test context will only run tests that have the only option set.
test_runner.TestContext.skip	1541349	648	method	This function causes the test's output to indicate the test as skipped.
test_runner.TestContext.todo	1541997	576	method	This function adds a TODO directive to the test's output.
test_runner.TestContext.test	1542573	657	method	This function is used to create subtests under the current test.
test_runner.TestContext.waitFor	1543230	446	method	This method polls a condition function until that function either returns successfully or the operation times out.
test_runner.SuiteContext	1543676	477	class	An instance of SuiteContext is passed to each suite function in order to interact with the test runner.
test_runner.subtests	1544153	1222	module	The test context's test() method allows subtests to be created.
test_runner.skipping_tests	1545375	1110	module	Individual tests can be skipped by passing the skip option to the test, or by calling the test context's skip() method as shown in the following example.
test_runner.todo_tests	1546485	1417	module	Individual tests can be marked as flaky or incomplete by passing the todo option to the test, or by calling the test context's todo() method, as shown in the following example.
test_runner.`only`_tests	1547902	2592	module	If Node.js is started with the --test-only command-line option, or test isolation is disabled, it is possible to skip all tests except for a selected subset by passing the only option to the tests tha
test_runner.filtering_tests_by_name	1550494	2579	module	The --test-name-pattern command-line option can be used to only run tests whose name matches the provided pattern, and the --test-skip-pattern option can be used to skip tests whose name matches the p
test_runner.extraneous_asynchronous_activity	1553073	1638	module	Once a test function finishes executing, the results are reported as quickly as possible while maintaining the order of the tests.
test_runner.watch_mode	1554711	743	module	The Node.js test runner supports running in watch mode by passing the --watch flag: node --test --watch In watch mode, the test runner will watch for changes to test files and their dependencies.
test_runner.running_tests_from_the_command_line	1555454	1552	module	The Node.js test runner can be invoked from the command line by passing the --test flag: node --test By default, Node.js will run all files matching these patterns: **/*.test.{cjs,mjs,js} **/*-test.
test_runner.running_tests_from_the_command_line.test_runner_execution_model	1557006	1621	module	When process-level test isolation is enabled, each matching test file is executed in a separate child process.
test_runner.collecting_code_coverage	1558627	1904	module	When Node.js is started with the --experimental-test-coverage command-line flag, code coverage is collected and statistics are reported once all tests have completed.
test_runner.collecting_code_coverage.coverage_reporters	1560531	718	module	The tap and spec reporters will print a summary of the coverage statistics.
test_runner.mocking	1561249	2506	module	The node:test module supports mocking during testing via a top-level mock object.
test_runner.mocking.timers	1563755	3647	module	Mocking timers is a technique commonly used in software testing to simulate and control the behavior of timers, such as setInterval and setTimeout, without actually waiting for the specified time inte
